Starting job 311844 on b[1352-1354,1368,1374-1375,1377-1379,1381-1382,1384-1390,1392-1393,1395,3149,3157-3165,4311-4312,4337-4348,4366,4368-4373,4376,4378-4379,4382-4384,4386,4390-4391,4393-4394,4396] at Tue Mar 15 22:06:21 CET 2022

start running log_Zn64_gs8_tr_j10p_j12n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311844         Zn64_gs8       8192                                             00:16:33      0:0 
311844.batch      batch        128        1   00:00:00          0   00:00:00   00:16:33      0:0 
311844.exte+     extern       8192       64   00:00:00         63   00:00:00   00:16:33      0:0 
311844.0     hydra_bst+       2048       16 1-18:26:53         15 2-11:59:43   00:16:31      0:0 
311844.1     hydra_bst+        384        3 2-17:57:47          0 2-18:01:08   00:16:30      0:0 
311844.2     hydra_bst+        384        3 2-17:57:18          1 2-18:00:52   00:16:30      0:0 
311844.3     hydra_bst+        384        3 2-18:01:28          2 2-18:03:26   00:16:30      0:0 
311844.4     hydra_bst+        384        3 2-02:23:47          2 2-12:49:41   00:16:30      0:0 
311844.5     hydra_bst+        384        3 1-14:44:48          2 2-08:56:13   00:16:30      0:0 
311844.6     hydra_bst+        384        3 1-17:18:01          1 2-09:48:55   00:16:30      0:0 
311844.7     hydra_bst+        384        3 2-17:59:18          0 2-18:01:21   00:16:30      0:0 
311844.8     hydra_bst+        384        3 1-20:15:06          0 2-10:45:12   00:16:30      0:0 
311844.9     hydra_bst+        384        3 2-18:01:04          0 2-18:02:05   00:16:30      0:0 
311844.10    hydra_bst+        384        3 2-18:00:33          2 2-18:01:30   00:16:30      0:0 
311844.11    hydra_bst+        384        3 2-18:01:30          2 2-18:03:16   00:16:30      0:0 
311844.12    hydra_bst+        384        3 2-17:59:08          2 2-18:02:43   00:16:30      0:0 
311844.13    hydra_bst+        384        3 1-15:36:12          2 2-09:13:50   00:16:30      0:0 
311844.14    hydra_bst+        384        3 1-15:36:21          0 1-18:20:28   00:16:30      0:0 
311844.15    hydra_bst+        384        3 2-18:00:46          0 2-18:01:45   00:16:30      0:0 
311844.16    hydra_bst+        384        3 1-13:23:47          2 2-08:22:13   00:16:30      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311844                                                                           
311844.batch      8924K          0      8924K       11              0         11 
311844.exte+       847K         21     846672        3              6          1 
311844.0       4500498K          6 4563957376       65             14         13 
311844.1       4465777K          1   4450847K       53              1         49 
311844.2       4471352K          2   4450160K       55              0         50 
311844.3       4489002K          1 4563633493       48              2         43 
311844.4       4492705K          1   4466765K       62              0         52 
311844.5       4467196K          0   4442454K       50              1         47 
311844.6       4500325K          0 4565272234       56              0         51 
311844.7       4507188K          0 4584988330       52              1         49 
311844.8       4489049K          1 4584670549       54              0         49 
311844.9       4485894K          0 4573971114       53              1         49 
311844.10      4469722K          1   4454040K       57              0         52 
311844.11      4496482K          1   4457525K       52              1         48 
311844.12      4466674K          2 4561560917       55              0         51 
311844.13      4509239K          0   4467025K       55              0         47 
311844.14      4481884K          0   4468772K       51              2         48 
311844.15      4495710K          0   4460213K       55              1         47 
311844.16      4492876K          1 4564914517       52              0         50 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311844                                                                                                
311844.batch       10.44M               0         10.44M       16.95M                0         16.95M 
311844.exte+        0.00M              63          0.00M            0               63              0 
311844.0         2069.24M              14        822.70M       69.94M                0         31.23M 
311844.1         2121.56M               1       2060.85M       66.72M                2         66.72M 
311844.2         2008.11M               0       1989.62M       66.72M                1         66.72M 
311844.3         2061.28M               1       2034.59M       66.72M                2         66.72M 
311844.4         2052.32M               1       2011.43M       66.72M                2         66.72M 
311844.5         2025.05M               1       1992.94M       66.72M                1         66.72M 
311844.6         2027.91M               1       2013.54M       66.72M                2         66.72M 
311844.7         1985.77M               1       1969.63M       66.72M                1         66.72M 
311844.8         2082.42M               0       2077.50M       66.72M                0         66.72M 
311844.9         2031.32M               0       1997.97M       66.72M                2         66.72M 
311844.10        2031.13M               1       1999.64M       66.72M                2         66.72M 
311844.11        2054.51M               1       2008.36M       66.72M                2         66.72M 
311844.12        2106.97M               1       2055.12M       66.72M                0         66.72M 
311844.13        1994.24M               2       1987.26M       66.72M                1         66.72M 
311844.14        1999.35M               0       1960.49M       66.72M                2         66.72M 
311844.15        2047.70M               0       2007.97M       66.72M                2         66.72M 
311844.16        1935.86M               0        919.29M       66.72M                2         66.72M 

Job 311844 completed at Tue Mar 15 22:22:55 CET 2022
