Starting job 311854 on b[1117,2301-2303,2314,2316-2317,2333,2343-2344,2346-2348,3150-3152,3166-3170,3172-3196,5108,5113-5114,5116-5117,5119-5121,5123-5124,5126,5131-5133,5136,5143,5146,5148] at Tue Mar 15 22:37:51 CET 2022

start running log_Zn64_gs8_tr_j14p_j14n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311854         Zn64_gs8       8192                                             00:12:32      0:0 
311854.batch      batch        128        1   00:00:00          0   00:00:00   00:12:32      0:0 
311854.exte+     extern       8192       64   00:00:00         63   00:00:00   00:12:32      0:0 
311854.0     hydra_bst+       2048       16 1-17:31:58          9 2-00:54:46   00:12:30      0:0 
311854.1     hydra_bst+        384        3 1-18:55:40          2 2-00:19:03   00:12:29      0:0 
311854.2     hydra_bst+        384        3 2-03:00:50          2 2-03:01:33   00:12:29      0:0 
311854.3     hydra_bst+        384        3 2-03:00:16          2 2-03:00:45   00:12:29      0:0 
311854.4     hydra_bst+        384        3 1-21:38:01          0 1-23:27:18   00:12:29      0:0 
311854.5     hydra_bst+        384        3 1-18:42:10          0 2-00:13:01   00:12:29      0:0 
311854.6     hydra_bst+        384        3 1-21:31:53          1 2-01:14:29   00:12:29      0:0 
311854.7     hydra_bst+        384        3 2-02:51:23          1 2-02:56:05   00:12:29      0:0 
311854.8     hydra_bst+        384        3 2-02:56:29          2 2-02:58:26   00:12:29      0:0 
311854.9     hydra_bst+        384        3 1-19:38:01          2 1-22:37:18   00:12:29      0:0 
311854.10    hydra_bst+        384        3 1-21:34:34          1 2-01:12:01   00:12:29      0:0 
311854.11    hydra_bst+        384        3 1-21:15:29          0 2-00:40:31   00:12:29      0:0 
311854.12    hydra_bst+        384        3 1-21:28:48          1 1-23:26:31   00:12:29      0:0 
311854.13    hydra_bst+        384        3 2-02:58:27          2 2-02:59:29   00:12:29      0:0 
311854.14    hydra_bst+        384        3 2-02:58:30          1 2-03:00:22   00:12:29      0:0 
311854.15    hydra_bst+        384        3 1-21:14:38          1 1-23:16:25   00:12:29      0:0 
311854.16    hydra_bst+        384        3 2-02:59:12          1 2-03:02:27   00:12:29      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311854                                                                           
311854.batch      8787K          0      8787K       11              0         11 
311854.exte+       855K         46     849600        3             23          1 
311854.0       4026215K          4 4026627200       69              7         60 
311854.1       3962690K          1 4012914005       52              0         49 
311854.2       3986878K          1   3950923K       58              2         53 
311854.3       3925976K          1   3915739K       54              0         50 
311854.4       4052266K          2   4029223K       52              1         46 
311854.5       3995422K          0 4041292117       52              0         47 
311854.6       3995035K          1 4033461589       53              0         47 
311854.7       3965810K          1   3937887K       59              1         54 
311854.8       3987666K          0 4037125461       49              1         46 
311854.9       3980754K          1   3956746K       61              0         54 
311854.10      4040557K          1 4078899541       62              0         49 
311854.11      4040832K          0 4032920917       54              1         51 
311854.12      4023150K          1 4104310442       56              0         51 
311854.13      3930730K          0   3915775K       61              1         54 
311854.14      3990727K          0   3945334K       49              2         43 
311854.15      4052968K          1 4085215914       47              0         44 
311854.16      3952567K          1 4018139818       55              1         53 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311854                                                                                                
311854.batch       10.42M               0         10.42M       16.95M                0         16.95M 
311854.exte+        0.00M              63          0.00M            0               63              0 
311854.0         1597.08M              14       1550.14M       69.94M                0         69.93M 
311854.1         1626.44M               1       1579.18M       66.72M                2         66.72M 
311854.2         1589.83M               0       1576.05M       66.72M                2         66.72M 
311854.3         1611.34M               1       1590.35M       66.72M                0         66.72M 
311854.4         1578.13M               0       1565.51M       66.72M                2         66.72M 
311854.5         1538.44M               2       1535.29M       66.72M                2         66.72M 
311854.6         1578.30M               1       1554.06M       66.72M                0         66.72M 
311854.7         1553.07M               0       1530.53M       66.72M                2         66.72M 
311854.8         1532.43M               2       1518.74M       66.72M                0         66.72M 
311854.9         1557.57M               0       1526.66M       66.72M                0         66.72M 
311854.10        1658.03M               1       1593.34M       66.72M                0         66.72M 
311854.11        1509.75M               0        739.24M       66.72M                2         66.72M 
311854.12        1555.64M               0          1.50G       66.72M                1         66.72M 
311854.13        1552.64M               1       1541.57M       66.72M                0         66.72M 
311854.14        1553.20M               2       1542.52M       66.72M                1         66.72M 
311854.15        1565.27M               0       1546.10M       66.72M                0         66.72M 
311854.16        1545.17M               2       1541.62M       66.72M                0         66.72M 

Job 311854 completed at Tue Mar 15 22:50:24 CET 2022
